"id","gospel","letters","psalms_proverbs","old_test"
78,"Mark 1:21-34","1 Cor 2","Psalms 74","Joshua 6-7"
79,"Mark 1:35-45","1 Cor 3","Psalms 75","Joshua 8-9"
80,"Mark 2:1-12","1 Cor 4","Psalms 76","Joshua 10-12"
81,"Mark 2:13-17","1 Cor 5","Psalms 77","Joshua 13-14"
82,"Mark 2:18-28","1 Cor 6:1-11","Psalms 78:1-39","Joshua 15-17"
83,"Mark 3:1-19","1 Cor 6:12-20","Psalms 78:40-72","Joshua 18-19"
84,"Mark 3:20-35","1 Cor 7:1-16","Psalms 79","Joshua 20-21"
85,"Mark 4:1-20","1 Cor 7:17-40","Psalms 80","Joshua 22-23"
86,"Mark 4:21-41","1 Cor 8","Psalms 81","Joshua 24"
87,"Mark 5:1-20","1 Cor 9:1-12","Psalms 82","Judges 1-3"
88,"Mark 5:21-43","1 Cor 9:13-27","Psalms 83","Judges 4-5"
89,"Mark 6:1-13","1 Cor 10:1-13","Psalms 84","Judges 6-7"
90,"Mark 6:14-29","1 Cor 10:14-33","Psalms 85","Judges 8"
91,"Mark 6:30-44","1 Cor 11:1-16","Psalms 86","Judges 9"
92,"Mark 6:45-56","1 Cor 11:17-34","Psalms 87","Judges 10-12"
93,"Mark 7:1-23","1 Cor 12:1-13","Psalms 88","Judges 13-15"
94,"Mark 7:24-37","1 Cor 12:14-31","Psalms 89:1-18","Judges 16"
95,"Mark 8:1-13","1 Cor 13","Psalms 89:19-52","Judges 17-18"
96,"Mark 8:14-21","1 Cor 14:1-25","Psalms 90","Judges 19"
97,"Mark 8:22-30","1 Cor 14:26-40","Psalms 91","Judges 20-21"
98,"Mark 8:31-38","1 Cor 15:1-28","Psalms 92","Ruth 1"
99,"Mark 9:1-13","1 Cor 15:29-58","Psalms 93","Ruth 2-3"
100,"Mark 9:14-32","1 Cor 16","Psalms 94","Ruth 4"
101,"Mark 9:33-50","2 Cor 1:1-11","Psalms 95","1 Samuel 1-2"
102,"Mark 10:1-16","2 Cor 1:12-24","Psalms 96","1 Samuel 3-5"
103,"Mark 10:17-34","2 Cor 2","Psalms 97","1 Samuel 6-8"
104,"Mark 10:35-52","2 Cor 3","Psalms 98","1 Samuel 9-10"
